January,0,0,0
February,0,0,0
March,0,0,0
April,0,0,0
May,0,0,0
June,0,0,0
July,0,0,0
August,0,0,0
September,0,0,0
October,0,0,0
November,0,0,0
December,0,0,0
January,0,0,0
February,0,0,0
March,0,0,0
April,178,0,0
May,356,0,0
June,534,0,0
July,3690.5,0,0
August,5144,0,0
September,8605,142,0
October,10635,218,0
November,11592.5,959.25,0
December,16942.5,1700.5,0
January,22292.5,2441.75,0
February,27642.5,3183,0
March,32992.5,4385,0
April,38342.5,5073.5,0
May,43692.5,5762,0
June,49042.5,10295,0
July,54392.5,10295,0
August,87133,10295,0
September,108239,10295,0
October,138734.5,12545.85714,0
November,153922,14796.71429,0
December,170200,17047.57143,0
January,181720,19298.42857,0
February,201540,21549.28571,0
March,224971.5,23800.14286,0
April,248272.83,26051,0
May,271574.16,28007,0
June,294875.49,30688.75,0
July,318176.82,33370.5,0
August,341478.15,36052.25,0
September,364779.48,38734,0
October,388080.81,41270,0
November,411382.14,45666,0
December,434683.5,50062,0
January,454708.5,54458,0
February,475546.5,56808.25,0
March,495013.7,59158.5,0
April,514480.9,61508.75,0
May,533948.1,63859,0
June,553415.3,67792.8,0
July,572882.5,71726.6,0
August,588891.6667,75660.4,0
September,604900.8333,79594.2,0
October,620910,83528,0
November,620923,88183,0
December,646667,93419.5,7871.071429
January,660009,98656,15742.14286
February,673351,103501,23613.21429
March,685949.75,109891.6667,31484.28571
April,698548.5,116282.3333,39355.35714
May,769308.5,122673,47226.42857
June,1007385,140243,55097.5
July,1245461.5,146479.5,62968.57143
August,1483538,152716,70839.64286
September,1795685.5,162816.4,78710.71429
October,1987169,172916.8,86581.78571
November,2135022,183017.2,94452.85714
December,2203163.5,193117.6,102323.9286
January,2249861,203218,110195
February,2315000,221182,114058
March,2339206.5,221182,129511.5
April,2370000,253811.9688,144965
May,2420000,286441.9375,160418.5
June,2512237.5,319071.9063,175872
July,2590000,351701.875,211250.5
August,2635000,384331.8438,246629
September,2670000,416961.8125,282007.5
October,2710000,449591.7813,317386
November,2750000,482221.75,352764.5
December,2800000,514851.7188,388143
January,2815000,547481.6875,423521.5
February,2860000,580111.6563,458900
March,2890000,612741.625,485800
April,2923333.333,645371.5938,549500
May,2956666.667,678001.5625,613200
June,2990000,710631.5313,613600
July,3030000,743261.5,684066.6667
August,3070000,775891.4688,754533.3333
September,3080000,808521.4375,825000
October,3115000,841151.4063,861000
November,3120000,873781.375,897000
December,3140000,906411.3438,957200
January,3170000,939041.3125,1017400
February,3190000,971671.2813,1077600
March,3205000,1004301.25,1137800
April,3215000,1036931.219,1198000
May,3240000,1069561.188,1258200
June,3250000,1102191.156,1318400
July,3260000,1134821.125,1378600
August,3270000,1167451.094,1438800
September,3280000,1200081.063,1499000
October,3285000,1232711.031,1559200
November,3290000,1265341,1619400
December,3310000,1306182.25,1679600
January,3310000,1347023.5,1739800
February,3330000,1387864.75,1800000
March,3335000,1428706,1900000
April,3350000,1435959,1900000
May,3355000,1548210,2000000
June,3360000,1553475.5,2100000
July,3370000,1558741,2100000
August,3380000,1572468,2125000
September,3390000,1586195,2150000
October,3390000,1648129,2175000
November,3400000,1700000,2200000